hotel_data,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
481,Carolina,PR,80.96,few clouds,18.3808,-65.9574,Motel Fantasy Star
482,Cayenne,GF,75.24,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
484,Manokwari,ID,84.67,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
486,Son La,VN,75.15,overcast clouds,21.3167,103.9,Galaxy Grand Hotel
489,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
493,Sohag,EG,76.84,scattered clouds,26.557,31.6948,Civil Registry - Sohag 1
496,Kota Kinabalu,MY,85.98,few clouds,5.9749,116.0724,Gaya Centre Hotel
501,Sambava,MG,74.88,light rain,-14.2667,50.1667,Melrose
504,Waingapu,ID,86.31,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
506,Goure,NE,81.36,clear sky,13.9835,10.2704,
507,Bozova,TR,72.52,clear sky,37.3625,38.5267,Bozova Öğretmen Evi
508,Adre,TD,80.33,clear sky,13.4667,22.2,
513,Port-Gentil,GA,80.56,scattered clouds,-0.7193,8.7815,Fengshui Residence
516,Bulungu,CD,76.28,overcast clouds,-4.55,18.6,Maison MC Michel
517,Saint-Leu,RE,79.63,few clouds,-21.15,55.2833,La Caz Oceane
519,Bosaso,SO,84.18,clear sky,11.2842,49.1816,Red Sea Hotel
524,Shache,CN,72.82,overcast clouds,38.4167,77.2406,Delong Hotel
525,Sibolga,ID,84.47,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
526,Banda Aceh,ID,82.65,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
529,Tete,MZ,80.69,few clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
533,Mongomo,GQ,71.13,broken clouds,1.6274,11.3135,NAIM OBUC
534,Daru,PG,82.74,overcast clouds,-9.0763,143.2092,Daru Lodge
535,Lorengau,PG,83.66,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
539,Gwadar,PK,87.03,few clouds,25.1216,62.3254,Sadaf Resort
542,Zwedru,LR,71.19,light rain,6.0667,-8.1281,Elijah Worjloh
543,Sulangan,PH,84.15,overcast clouds,11.1373,123.7228,Maia's Beach Resort
544,Chinsali,ZM,80.26,broken clouds,-10.5414,32.0816,Chisakatu Guest House
549,Nam Phong,TH,84.52,scattered clouds,16.7023,102.8557,Koon Garden Resort
558,Bende,NG,75.52,overcast clouds,5.5572,7.6368,Bende Local Government Corppers Lodge
560,Manaure,CO,80.28,broken clouds,11.7751,-72.4445,Hotel Palaaima
561,Labuan,MY,84.56,few clouds,5.2767,115.2417,Tiara Labuan Hotel
562,Amapa,BR,70.45,broken clouds,1.0,-52.0,
563,Agadir,MA,70.25,scattered clouds,30.4202,-9.5982,Iberostar Founty Beach
564,Mojo,ET,73.35,scattered clouds,8.6,39.1167,Abroma Hotel
565,Labrea,BR,73.33,broken clouds,-7.2586,-64.7981,Hotel Novo Horizonte
566,Posse,BR,72.86,overcast clouds,-14.0931,-46.3694,Pousada das Palmeiras
568,Elat,IL,75.04,few clouds,29.5581,34.9482,Club Hotel Eilat
570,San Ignacio,BZ,73.6,overcast clouds,17.1561,-89.0714,Rainforest Haven Inn
571,Chabahar,IR,85.24,few clouds,25.2919,60.643,هتل گدروشیا
